공통표준단어명,공통표준단어영문약어명,공통표준단어 영문명,공통표준단어 설명,형식단어여부,공통표준도메인분류명,이음동의어 목록,금칙어 목록,제정차수,"개정구분명(폐기 또는 변경)",개정항목,개정사유
1회섭취참고량,RAFOS,Reference Amount For One Serving,一回攝取參考量. 만 3세 이상 소비계층이 통상적으로 소비하는 식품별 1회 섭취량과 시장조사 결과 등을 바탕으로 설정한 값을 말한다 ,N,,,,5차(2022-07),,,
1회투여량,SGLDS,Single Dose,一回投與量. 한 번에 약물이나 주사 등이 몸에 투여되는 구체적인 양,Y,수,,,8차(2025-11),,,
API,API,Application Programming Interface,"API. 운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스",N,,,,6차(2023-11),,,
CAS,CAS,Chemical Abstract Service,CAS. 화학적 동질성을 갖는 물질에 대하여 미국 화학회(化學會)에서 부여한 고유 번호,N,,,,6차(2023-11),,,
CCTV,CCTV,Closed-Circuit Television,CCTV. 특정 수신자를 대상으로 화상을 전송하는 텔레비전 방식,N,,,,8차(2025-11),,,
CI,CI,Connecting Information,"Connecting Information. 여러 온라인 서비스에서 동일인을 확인할 수 있는 연계 정보로, 본인인증을 거친 뒤 사업자 간 사용자를 식별할 수 있는 암호화된 고유값",N,,,,8차(2025-11),,,
CMS,CMS,Cash Management Service,"CMS. 은행에 직접 가지 않고도 컴퓨터나 단말기를 통신 회선으로 연결하여 은행이 제공하는 각종 금융 거래 정보를 이용하거나, 자금의 효율적 관리, 자금 대체 따위를 할 수 있는 서비스",N,,,,7차(2024-11),,,
CPU,CPU,Central Processing Unit,CPU. 컴퓨터 시스템 전체의 작동을 통제하고 프로그램의 모든 연산을 수행하는 가장 핵심적인 장치,N,,,,6차(2023-11),,,
DI,DI,Duplication Information,"Duplication/Dedication Information. 중복가입 확인 정보로, 하나의 서비스 내에서 동일 사용자의 중복 가입을 막고, 계정 구분을 위한 식별값",N,,,,8차(2025-11),,,
EAI,EAI,Enterprise Application Integration,EAI. 기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일,N,,,,7차(2024-11),,,
ERP,ERP,Enterprise Resource Planning,Enterprise Resource Planning. 기업의 모든 업무 프로세스와 자원을 통합적으로 관리하는 시스템 및 소프트웨어,N,,,,8차(2025-11),,,
ESB,ESB,Enterprise Service Bus,Enterprise Service Bus. 여러 이기종 시스템을 효율적으로 연계하는 미들웨어 플랫폼,N,,,,8차(2025-11),,,
FAQ,FAQ,Frequently Asked Question,FAQ. 많은 사람이 자주 물어보는 질문과 그에 대한 답을 정리해 놓은 문서,N,,,,6차(2023-11),,,
G2B,G2B,Government-To-Business,"G2B. 정부-기업 간 거래. 정부 전자조달. 물품이나 용역의 입찰, 공문서 교환 등의 사업",N,,,,7차(2024-11),,,
GIS,GIS,Geographic Information System,GIS. 지리정보시스템(Geographic Information System) 지도에 관한 속성 정보를 컴퓨터를 이용해서 해석하는 지도 정보 시스템,N,,,,4차(2021-12),,,
HTML,HTML,Hypertext Markup Language,HTML. 하이퍼링크를 사용하는 컴퓨터 언어. 홈페이지 제작에 주로 사용하는 언어로 표시가 있는 글을 선택하면 그것과 연결되어 있는 내용을 보여 주거나 연결되어 있는 프로그램을 실행,N,,,,1차(2020-08),,,
IMO,IMO,International Maritime Organization,"International Maritime Organization. 국제해사기구를 칭하며 배의 항로, 교통 규칙, 항만 시설 따위의 국제적 통일을 목적으로 설립한 국제 연합의 전문 기구",N,,,,8차(2025-11),,,
IP,IP,Internet Protocol,"IP. OSI 모델의 제3계층(네트워크층)에 해당되는 프로토콜로 IP계층에 따라 다른 네트워크 간 패킷의 전송, 즉 경로 제어를 위한 규약",N,,아이피,,2차(2020-12),,,
MAC,MAC,Medium Access Control,"MAC. OSI 기본 참조 모델의 데이터 링크 계층의 일부로서, 동일한 매체를 여러 노드가 공유하는 특성상에 존재하는 구내 정보 통신망(LAN) 고유의 계층",N,,,,2차(2020-12),,,
MMS,MMS,Multimedia Messaging Service,"MMS. 3세대 이동통신 서비스의 기본 요소로서 정지 영상, 음악, 음성 및 동영상 등의 다양한 형식의 데이터를 주고받을 수 있는 메시징 시스템",N,,,,7차(2024-11),,,
OTP,OTP,One-Time Password,OTP. 사용자 인증을 위하여 로그인을 할 때마다 매번 새로 생성되는 비밀번호,N,,,,8차(2025-11),,,
PDF,PDF,Portable Document Format,PDF. 원본 문서가 어떠한 애플리케이션에서 작성되었는지에 상관없이 여러 플랫폼 환경에서 문서를 동일하게 출력하고 디스플레이할 수 있도록 해주는 파일 포맷,N,,,,6차(2023-11),,,
PG,PG,Payment Gateway,"PG. 인터넷상에서 금융 기관과 하는 거래를 대행해 주는 업체. 신용 카드 거래, 계좌 이체, 핸드폰 이용 결제 등 다양한 소액 결제 서비스를 대신 제공해 준다",N,,,,6차(2023-11),,,
POS,POS,Point Of Sales,"POS. 상점의 전자식 금전 등록기, 정찰 판독 장치 등을 컴퓨터에 연결하여 상품 데이터를 관리하는 시스템",N,,,,7차(2024-11),,,
PQ,PQ,Pre-Qualification,"Pre-Qualification. 입찰 전 사업수행능력 사전심사로, 일정 수준 이상의 역량과 신뢰도를 갖춘 업체만 공사나 용역 입찰에 참가할 수 있도록 제한하는 제도",N,,,,8차(2025-11),,,
QR코드,QRCD,Quick Response Code,"QR CODE. 컴퓨터로 만든 흑백 격자무늬 코드로, 정보를 나타내는 매트릭스 형식의 이차원 코드",N,,큐알코드,,7차(2024-11),,,
RFID,RFID,Radio Frequency Identification,RFID. 전파 신호를 통해 비접촉식으로 사물에 부착된 얇은 평면 형태의 태그를 식별하여 정보를 처리하는 시스템,N,,,,7차(2024-11),,,
RSS,RSS,Really Simple Syndication,RSS. 웹 사이트 간의 자료 교환 및 배급을 위한 확장성 링크 언어(XML) 기반의 규격,N,,,,7차(2024-11),,,
SMS,SMS,Short Message Service,"SMS. 컴퓨터, 휴대전화 이용자들이 별도의 부가장비 없이도 간단한 단문의 메시지를 주고 받을 수 있는 문자 서비스",N,,,,1차(2020-08),,,
SNS,SNS,Social Networking Service,SNS. 동일한 관심 또는 특성을 갖는 사람들이 연결될 수 있도록 온라인 기반의 개인 간 소셜 네트워크를 만들고 운영하는 데 초점을 맞춘 서비스,N,,,,7차(2024-11),,,
SQL,SQL,Structured Query Language,SQL. 관계형 데이터베이스 관리 시스템(RDBMS) 또는 관계형 데이터 스트림 관리 시스템(RDSMS)의 조작과 관리를 위한 표준 질의 언어,N,,,,6차(2023-11),,,
SSL,SSL,Secure Sockets Layer,SSL. 인터넷상에서 데이터 통신 보안을 제공하는 암호 프로토콜,N,,,,7차(2024-11),,,
SSO,SSO,Single Sign-On,Single Sign-On. 한 번 인증으로 여러 시스템 이용 가능하도록 하는 통합 로그인 기술,N,,,,8차(2025-11),,,
TV수신료,TVSFE,TV Subscription Fee,TV受信料. 텔레비전 방송을 수신하는 대가로 지불하는 돈,Y,요금,,,7차(2024-11),,,
URL,URL,Uniform Resource Locator,URL. 확인된 리소스가 어디에 있는지 또 이를 탐색하는 메커니즘이 어디에 있는지에 대해 규정하는 URL,N,,,,2차(2020-12),,,
VOC,VOC,Voice of Customer,"VOC. 콜센터에 접수되는 고객의 불만 사항에 대해, 접수부터 처리까지 처리 상황을 실시간으로 관리하고 처리 결과를 관서별로 지표화하여 관리하고 평가함으로써 고객의 체감 서비스를 향상하는 고객 관리 시스템",N,,,,6차(2023-11),,,
WBS,WBS,Work Breakdown Structure,"WBS. 프로젝트 과업과 하위 과업 그리고 작업 단위의 계층을 나타내는 구조. 한 개 이상의 작업 단위가 완성되어 하위 과업이 완성되고, 한 개 이상의 하위 과업이 완성되어 프로젝트가 완성된다",N,,,,7차(2024-11),,,
XML,XML,Extensible Mark-Up Language,Extensible Markup Language. 데이터를 저장하고 전달하는 데 사용되는 다목적 마크업 언어,N,,,,8차(2025-11),,,
X좌표,XCRD,X-Coordinate,"X座標. 직선·평면·공간에서 점의 위치를 나타낼 때, 원점에서 직각으로 만나는 두 좌표축(X축과 Y축)을 사용해서 X축에 내린 수선의 눈금인 x를 그 점의 x좌표 또는 가로좌표라고 함",Y,좌표,,,6차(2023-11),,,
Y좌표,YCRD,Y-Coordinate,"Y座標. 직선·평면·공간에서 점의 위치를 나타낼 때, 원점에서 직각으로 만나는 두 좌표축(X축과 Y축)을 사용해서 Y축에 내린 수선의 눈금인 y를 그 점의 y좌표 또는 세로좌표라고 함",Y,좌표,,,6차(2023-11),,,
Z좌표,ZCRD,Z-Coordinate,"Z座標. 3차원의 데카르트 좌표계에서 가로축(X축)과 세로축(Y축)에 대하여 직각이 되는 제3의 축(Z축)을 의미. X-Y-Z 좌표계는 길이, 너비, 깊이를 갖는 모델을 생성하여 3차원 공간에서 모델을 이동하는 데 사용된다",Y,좌표,,,7차(2024-11),,,
가감,ADSB,Addition And Subtraction,加減. 더하거나 빼는 일 또는 그렇게 하여 알맞게 맞추는 일,N,,,,6차(2023-11),,,
가격,PRC,Price,價格. 물건이 지니고 있는 가치를 돈으로 나타낸 것,Y,가격,,,6차(2023-11),,,
가결,PSD,Passed,"可決. 회의에서, 제출된 의안을 합당하다고 결정함",N,,,,8차(2025-11),,,
가계수표,PSCK,Personal Check,家計手票. 은행에 가계 종합 예금 계좌를 가진 사람이 그 은행 앞으로 발행하는 소액 수표,N,,,,8차(2025-11),,,
가공비,PRCFE,Processing Fee,加工費. 가공을 하는 데 드는 비용,Y,비용,,,8차(2025-11),,,
가구,HSHD,Household,家口. 현실적으로 주거 및 생계를 같이하는 사람의 집단을 세는 단위,N,,,,6차(2023-11),,,
가능,PSBLTY,Possibility,可能. 할 수 있거나 될 수 있음,N,,,,3차(2021-10),,,
가동,OPRTNG,Operating,稼動. 사람이나 기계 따위가 움직여 일함. 또는 기계 따위를 움직여 일하게 함,N,,,,4차(2021-12),,,
가동률,OPRT,Operation Rate,稼動率. 생산 설비가 가동될 수 있는 최대 시간과 실지로 가동한 시간의 비율,Y,율,,,7차(2024-11),,,
가로,WDTH,Width,가로. 왼쪽에서 오른쪽으로 나 있는 방향 또는 그 길이,N,,,,6차(2023-11),,,
가맹점,FRCS,Franchise,加盟店. 어떤 조직의 동맹이나 연맹에 든 가게나 상점,N,,,,2차(2020-12),,,
가분할,DVSB,Divisible,"可分割. 해당 부지, 구역, 재산 등에서 실제로 분할이 허용되는 것",N,,,,8차(2025-11),,,
